WARNING: iteration count mismatch: baseline=64, grasp=75. Showing min(64).
=== Warp 1, Baseline vs GRASP (64 iterations) ===

iter | base_idx_cyc |     base_idx_L1 | base_data_cyc |         base_data_L1 | grasp_idx_cyc |    grasp_idx_L1 | grasp_data_cyc |        grasp_data_L1 | speedup
----------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 |       543254 |   [23L] 23xMISS |        546222 |        [21L] 21xMISS |        543254 |   [23L] 23xMISS |         546222 |        [21L] 21xMISS |   1.00x
   1 |       548969 | [17L] 15xHIT,2xMISS |        549539 |  [17L] 13xMISS,4xHIT |        548969 | [17L] 15xHIT,2xHIT_RES |         549548 | [17L] 12xMISS,4xHIT,1xHIT_RES |   0.89x
   2 |       550913 |      [6L] 6xHIT |        550960 |          [6L] 6xMISS |        551056 |      [6L] 6xHIT |         551103 |    [6L] 5xHIT,1xMISS |   1.20x
   3 |       552166 | [24L] 21xHIT,3xMISS |        552826 | [24L] 15xMISS,8xHIT,1xHIT_RES |        552205 | [24L] 21xHIT,3xMISS |         552937 |  [24L] 16xMISS,8xHIT |   1.06x
   4 |       560652 |    [17L] 17xHIT |        561294 |  [17L] 14xMISS,3xHIT |        560219 |    [17L] 17xHIT |         560740 |  [17L] 11xMISS,6xHIT |   0.92x
   5 |       567760 |    [10L] 10xHIT |        568305 |   [10L] 7xMISS,3xHIT |        567898 |    [10L] 10xHIT |         567946 |         [10L] 10xHIT |   1.41x
   6 |       573517 |      [4L] 4xHIT |        574062 |    [4L] 2xHIT,2xMISS |        572159 |      [4L] 4xHIT |         572205 |           [4L] 4xHIT |   2.52x
   7 |       621644 | [13L] 11xMISS,2xRFAIL |             0 |                  N/A |        608753 |   [14L] 14xMISS |              0 |                  N/A |     N/A
   8 |       621945 |     [3L] 3xMISS |             0 |                  N/A |        609980 |     [7L] 7xMISS |         618886 | [19L] 13xMISS,6xHIT_RES |     N/A
   9 |       623062 |     [7L] 7xMISS |        632475 | [19L] 18xMISS,1xHIT_RES |        633172 |   [15L] 15xMISS |         633853 | [14L] 8xMISS,3xHIT_RES,3xHIT |   8.04x
  10 |       649097 |   [15L] 15xMISS |        649804 | [14L] 10xMISS,3xHIT,1xHIT_RES |        637307 | [5L] 4xHIT,1xMISS |         638675 |    [5L] 3xHIT,2xMISS |   0.76x
  11 |       653244 | [5L] 3xMISS,2xHIT |        654753 |    [5L] 3xHIT,2xMISS |        640743 |   [16L] 16xMISS |         643144 | [16L] 9xMISS,5xHIT,2xHIT_RES |   0.14x
  12 |       656753 |   [16L] 16xMISS |        659108 |   [16L] 8xHIT,8xMISS |        660178 | [11L] 7xMISS,4xHIT_RES |         662172 | [11L] 6xMISS,4xHIT,1xHIT_RES |   1.01x
  13 |       677452 | [11L] 8xMISS,3xHIT |        678427 |   [11L] 6xMISS,5xHIT |        680602 |      [6L] 6xHIT |         680863 |    [6L] 4xHIT,2xMISS |   2.96x
  14 |       689988 |      [6L] 6xHIT |        691376 |    [6L] 3xMISS,3xHIT |        685193 |      [3L] 3xHIT |         685239 |           [3L] 3xHIT |  21.87x
  15 |       697564 |      [3L] 3xHIT |        698079 |           [3L] 3xHIT |        742335 | [19L] 18xMISS,1xRFAIL |              0 |                  N/A |     N/A
  16 |       790396 |   [19L] 19xMISS |             0 |                  N/A |        742636 |     [1L] 1xMISS |              0 |                  N/A |     N/A
  17 |       791408 |     [1L] 1xMISS |        800211 |        [20L] 20xMISS |        743229 |     [1L] 1xMISS |         751187 |        [20L] 20xMISS |   1.14x
  18 |       817531 |   [15L] 15xMISS |        818290 |  [15L] 13xMISS,2xHIT |        770530 |   [15L] 15xMISS |         771290 |  [15L] 13xMISS,2xHIT |   0.90x
  19 |       823215 |   [10L] 10xMISS |        823957 | [10L] 5xHIT,4xMISS,1xHIT_RES |        777022 | [10L] 5xMISS,5xHIT_RES |         778203 |   [10L] 5xMISS,5xHIT |   0.72x
  20 |       827088 |   [17L] 17xMISS |        829944 |  [17L] 11xMISS,6xHIT |        782359 |   [17L] 17xMISS |         785004 |  [17L] 14xMISS,3xHIT |   0.95x
  21 |       857913 | [13L] 12xHIT,1xMISS |        859808 |   [13L] 8xMISS,5xHIT |        816434 | [13L] 11xHIT,1xMISS,1xHIT_RES |         819284 |   [13L] 7xMISS,6xHIT |   0.80x
  22 |       876403 | [9L] 8xHIT,1xMISS |        877319 |    [9L] 5xMISS,4xHIT |        839663 |      [9L] 9xHIT |         840401 |    [9L] 5xMISS,4xHIT |   1.86x
  23 |       888589 |      [4L] 4xHIT |        889277 |    [4L] 3xMISS,1xHIT |        846634 |      [4L] 4xHIT |         846680 |           [4L] 4xHIT |   2.49x
